,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
37,47.1,52.374133,4.874505,6.546655655,1985433.5,10541899.0,43.83878708,35.92510605,47.97793961,129409.6094,338753.5938,0.0,83023.60938,2629.351318,0.0,26006.87109,1114.750732,70780.61719,543.3146362,29383.92188,57.83963013,2846.053467,250679.0938,143.2974854,584739.5,9.664936066,80.9697113,0.962384581,0.966789534,1418.0,0.0,580.75,580.75
38,26.0,52.384563,4.876935,5.462370872,4950424.5,12980854.0,38.41035843,33.82587051,37.7750473,122312.1484,322414.1875,0.0,88920.99219,4677.810547,0.0,29066.58789,1433.377075,64027.61719,580.6774292,28995.01367,91.82054138,4694.038574,191491.6563,184.8831024,554531.875,9.708720207,80.91449738,0.992459246,0.835885116,1175.0,0.0,0.0,580.75
39,26.7,52.391093,4.874505,6.021710873,6830982.5,14613988.0,34.72172928,32.30819321,32.45364761,118940.4063,303289.25,0.0,92194.83594,5431.552246,0.0,27091.35352,2055.627686,67881.14844,0.0,13894.89844,0.0,614.5560913,181758.5781,0.0,498124.375,9.750741959,80.8531723,0.990470934,0.786294461,1840.0,0.0,0.0,580.75
40,30.2,52.357493,4.901105,7.644451141,519220.0,4965770.5,44.55224991,33.5658226,46.76322937,131220.0781,301285.3438,0.0,97178.42188,8138.95459,0.0,33766.32031,2180.572754,63403.40625,415.2628479,33776.01953,54.25591278,3484.432373,259410.625,125.9133682,559031.6875,9.463175774,80.89958191,0.949690653,0.869467335,1700.0,0.0,0.0,1175.217467
41,54.7,52.374133,4.905055,4.581319332,1902226.125,6946607.5,82.28007507,33.60228348,73.59733582,123684.0078,316228.4688,3365.225098,108824.3672,4840.406738,0.0,34639.64453,968.9642334,60877.26172,564.2526855,16828.05859,85.98449707,2875.592773,238121.3594,187.5659637,564837.125,9.580400467,80.71476746,0.925961419,0.650903719,822.0,0.0,0.0,1632.704524
42,58.5,52.373143,4.906865,5.132092953,1793847.875,6731626.0,75.4272995,33.1739006,69.29475403,122030.1484,307699.0625,3245.905029,108910.2891,4952.780762,0.0,34466.62109,787.4425049,60626.82031,488.1741638,16023.4834,76.95496368,2227.869385,242112.4063,167.0113831,563375.8125,9.569450378,80.72951508,0.94593322,0.666584622,933.0,0.0,0.0,1632.769209
43,49.5,52.371893,4.909405,6.147591114,1596611.625,6421656.5,57.56385803,32.48065567,58.18527985,122717.2266,305805.9375,2972.747803,101004.6094,5039.562012,0.0,33706.64063,707.6947021,59464.60547,569.0466919,16386.68359,106.8967056,2381.473145,244770.1406,241.7965546,567897.4375,9.549286842,80.72951508,0.894185589,0.717876968,1365.0,0.0,0.0,1632.722584
44,53.0,52.376593,4.900605,3.476172924,2280798.5,7661018.5,71.72519684,32.52281952,64.7666626,121867.4609,317743.4375,3483.865479,89511.875,4163.37793,0.0,35746.41797,1594.974487,61987.08984,178.4422302,19005.4082,13.75351715,1691.149292,222994.25,43.90179062,575266.25,9.612017632,80.85053253,0.976992716,0.696703158,941.0,0.0,0.0,1565.592744
45,38.2,52.385293,4.873805,6.462935925,5481774.5,13714568.0,37.85442352,33.44546127,36.38938141,122731.4766,323269.8438,0.0,88413.40625,5490.121582,0.0,28232.625,467.1716309,64064.33594,557.3359375,26711.66211,45.03608322,3775.602295,188694.9688,146.3593903,544656.125,9.719341278,80.91449738,0.976294077,0.792884549,4140.0,0.0,0.0,580.75
46,33.4,52.384763,4.848475,4.224439144,6974546.0,17980576.0,37.56916809,33.56179428,39.0817337,120437.9688,315193.5625,8795.875,78466.25,3658.418701,0.0,19266.53125,731.7340088,58370.95313,964.9385986,26526.96094,214.679306,2922.212891,180421.0313,451.2273865,483695.25,9.68622303,81.06783295,0.989351331,0.74753799,1716.0,0.0,0.0,1351.527105
